迭代次数,总损失,合成监督损失,真实伪标签损失,正伪标签比例,负伪标签比例,忽略比例,平均预测熵,正类概率阈值,负类概率阈值,残差阈值
95,0.6578658223152161,0.6285792589187622,0.08367594331502914,0.00347900390625,0.25,0.74652099609375,0.4127407670021057,0.72,0.1202722117304802,0.02026035636663437
96,0.7316412329673767,0.7015437483787537,0.08599288016557693,0.00323486328125,0.25,0.74676513671875,0.41440048813819885,0.72,0.11824477463960648,0.023973485454916954
97,0.6516007781028748,0.6209974884986877,0.08743800222873688,0.0048980712890625,0.25,0.7451019287109375,0.41396579146385193,0.72,0.12149687111377716,0.02157670073211193
98,0.6148594617843628,0.5853554606437683,0.08429718762636185,0.00341796875,0.25,0.74658203125,0.41197478771209717,0.72,0.12054542452096939,0.021547231823205948
99,0.7003129720687866,0.671372652053833,0.08268670737743378,0.002899169921875,0.25,0.747100830078125,0.4128342270851135,0.72,0.11867038160562515,0.021721502766013145
100,0.7062875628471375,0.6766879558563232,0.08457024395465851,0.0052947998046875,0.25,0.7447052001953125,0.41379961371421814,0.72,0.11909404397010803,0.02299041487276554
101,0.6726140379905701,0.6433670520782471,0.08356276899576187,0.002838134765625,0.25,0.747161865234375,0.411801815032959,0.72,0.11920803785324097,0.021704360842704773
102,0.7450329661369324,0.7182061672210693,0.07664802670478821,0.0021820068359375,0.25,0.7478179931640625,0.41264522075653076,0.72,0.11781059205532074,0.020649755373597145
103,0.7012437582015991,0.6706767678260803,0.08733431249856949,0.004730224609375,0.25,0.745269775390625,0.4119753837585449,0.72,0.11844339966773987,0.019859127700328827
104,0.8101505041122437,0.7828217148780823,0.07808221131563187,0.0021820068359375,0.25,0.7478179931640625,0.41231557726860046,0.72,0.11835425347089767,0.023483041673898697
105,0.6675359606742859,0.6274758577346802,0.11445747315883636,0.0076904296875,0.25,0.7423095703125,0.41600102186203003,0.7507528066635132,0.11780498921871185,0.020853158086538315
106,0.7361682057380676,0.7039755582809448,0.091979019343853,0.0065765380859375,0.25,0.7434234619140625,0.4144185781478882,0.8583081960678101,0.12012582272291183,0.020051561295986176
107,0.7563818097114563,0.7163984179496765,0.11423831433057785,0.0069122314453125,0.25,0.7430877685546875,0.415424644947052,0.7431803941726685,0.11797453463077545,0.023259351029992104
108,0.703371524810791,0.6730445623397827,0.08664846420288086,0.0066070556640625,0.25,0.7433929443359375,0.4147999584674835,0.757980227470398,0.11675137281417847,0.023670796304941177
109,0.693929135799408,0.6658549904823303,0.08021180331707001,0.001129150390625,0.25,0.748870849609375,0.40844643115997314,0.72,0.11909071356058121,0.021889997646212578
110,0.6782132983207703,0.6504166126251221,0.0794191062450409,0.002471923828125,0.25,0.747528076171875,0.411251425743103,0.72,0.11653590202331543,0.023682210594415665
111,0.6771540641784668,0.6512471437454224,0.07401969283819199,0.0019989013671875,0.25,0.7480010986328125,0.40970754623413086,0.72,0.11787981539964676,0.019285134971141815
112,0.6927073001861572,0.6627299785614014,0.08564946800470352,0.0027618408203125,0.25,0.7472381591796875,0.41069871187210083,0.72,0.11782354861497879,0.019754542037844658
113,0.7010679841041565,0.6767914295196533,0.06936166435480118,0.0028228759765625,0.25,0.7471771240234375,0.4095762073993683,0.72,0.11718648672103882,0.02071528136730194
114,0.714474618434906,0.6889396905899048,0.07295697927474976,0.0045318603515625,0.25,0.7454681396484375,0.4091598391532898,0.72,0.11712822318077087,0.020857740193605423
115,0.7168490886688232,0.6911085247993469,0.07354448735713959,0.0037689208984375,0.25,0.7462310791015625,0.4106675386428833,0.72,0.11584961414337158,0.02449106052517891
116,0.6866487264633179,0.6615787148475647,0.07162867486476898,0.002777099609375,0.25,0.747222900390625,0.40843069553375244,0.72,0.1177588477730751,0.021960008889436722
117,0.5791599154472351,0.5509201288223267,0.08068511635065079,0.0029144287109375,0.25,0.7470855712890625,0.4095102548599243,0.72,0.115876704454422,0.02096475474536419
118,0.7257891893386841,0.6943210363388062,0.08990907669067383,0.0019683837890625,0.25,0.7480316162109375,0.4094248414039612,0.72,0.11502507328987122,0.022201724350452423
119,0.7911346554756165,0.7609326243400574,0.0862915962934494,0.006622314453125,0.25,0.743377685546875,0.40830111503601074,0.72,0.11942518502473831,0.019606878980994225
120,0.7019408941268921,0.6741716265678406,0.07934081554412842,0.0030517578125,0.25,0.7469482421875,0.4082845449447632,0.72,0.11614111065864563,0.01883438602089882
121,0.8145683407783508,0.7909005284309387,0.06762225925922394,0.0005950927734375,0.25,0.7494049072265625,0.4050784111022949,0.72,0.11749810725450516,0.02099667303264141
122,0.6535214781761169,0.6277472972869873,0.07364056259393692,0.005706787109375,0.25,0.744293212890625,0.41022008657455444,0.72,0.11431954056024551,0.023251425474882126
123,0.5676563382148743,0.5416793823242188,0.07421983778476715,0.003875732421875,0.25,0.746124267578125,0.4073716402053833,0.72,0.11791344732046127,0.017952751368284225
124,0.6875229477882385,0.6633950471878052,0.0689367949962616,0.0046844482421875,0.25,0.7453155517578125,0.4084365963935852,0.72,0.11439026892185211,0.020255468785762787
125,0.6953975558280945,0.6663143038749695,0.08309493213891983,0.0067596435546875,0.25,0.7432403564453125,0.40441763401031494,0.72,0.11957959830760956,0.01780271716415882
126,0.7051441669464111,0.6798862814903259,0.07216546684503555,0.00341796875,0.25,0.74658203125,0.407870888710022,0.72,0.1150420680642128,0.021033793687820435
127,0.6727854013442993,0.6496742367744446,0.06603198498487473,0.0017242431640625,0.25,0.7482757568359375,0.40540361404418945,0.72,0.1161946952342987,0.019064338877797127
128,0.7572507262229919,0.7287987470626831,0.0812913328409195,0.00634765625,0.25,0.74365234375,0.40657466650009155,0.72,0.11571473628282547,0.018969861790537834
129,0.6279101371765137,0.5814635157585144,0.1327047049999237,0.0055694580078125,0.25,0.7444305419921875,0.4095051884651184,0.72,0.11209748685359955,0.021211963146924973
